case	verdict	max_abs_diff	ssim	tol_max	tol_ssim	source	golden
adjust	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/adjust.golden.png
alphaMask	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/alphaMask.golden.png
applyMode	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/applyMode.golden.png
bc	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/bc.golden.png
bitwise	PASS	0.0	1.00000	2.001	0.98	sweep	parity/out/bitwise.golden.png
blendMode	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/blendMode.golden.png
bloom	PASS	2.0	0.99998	2.001	0.98	sweep	parity/out/bloom.golden.png
blur	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/blur.golden.png
bulge	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/bulge.golden.png
celShading	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/celShading.golden.png
cell	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/cell.golden.png
cellNoise	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/cellNoise.golden.png
cellRefract	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/cellRefract.golden.png
cellSplit	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/cellSplit.golden.png
cellularAutomata.f0001	PASS	0.0	1.00000	2.001	0.98	accumulate	parity/out/cellularAutomata.f0001.golden.png
cellularAutomata.f0002	PASS	0.0	1.00000	2.001	0.98	accumulate	parity/out/cellularAutomata.f0002.golden.png
cellularAutomata.f0008	PASS	0.0	1.00000	2.001	0.98	accumulate	parity/out/cellularAutomata.f0008.golden.png
centerMask	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/centerMask.golden.png
channel	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/channel.golden.png
channelCombine	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/channelCombine.golden.png
chroma	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/chroma.golden.png
chromaticAberration	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/chromaticAberration.golden.png
chrome	NEAR	32.0	0.99999	34.0	0.98	sweep	parity/out/chrome.golden.png
clouds	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/clouds.golden.png
cnd_bitEffects	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/cnd_bitEffects.golden.png
cnd_caustic	PASS	1.0	0.99990	2.001	0.98	sweep	parity/out/cnd_caustic.golden.png
cnd_fractal	PASS	1.0	0.99993	2.001	0.98	sweep	parity/out/cnd_fractal.golden.png
cnd_moodscape	PASS	1.0	0.99997	2.001	0.98	sweep	parity/out/cnd_moodscape.golden.png
cnd_noise	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/cnd_noise.golden.png
